Imie,Umiejetnosci Angular,Umiejetnosci Java,Umiejetnosci UI/UX,Umiejetnosci SQL,Znajomosc angielskiego,Suma Umiejetnosci,Wynagrodzenie
Irene Jackson,0.72,0.57,0.58,0.91,0.54,3.32,97
Carrie Salazar,0.51,0.32,0.04,0.13,0.0,1.0,33
Philip Odell,0.0,0.78,0.0,0.0,0.24,1.02,40
Alice Sanchirico,0.78,0.29,0.09,0.44,0.56,2.16,49
Harold Dinsmoor,0.0,0.68,0.0,0.72,0.0,1.4,43
Kari Daffin,0.0,0.39,0.0,0.18,0.67,1.24,33
Morris Neely,0.26,0.94,0.48,0.0,0.34,2.02,34
Naomi Hasse,0.13,0.69,0.0,0.88,1.0,2.7,32
Edward Manning,0.63,1.0,1.0,0.2,0.79,3.62,81
James Hoople,0.25,0.75,0.48,0.71,0.23,2.42,53
Leslie Aguilar,0.0,0.0,0.49,0.98,0.87,2.34,67
Jim Sewell,0.68,0.0,0.24,0.0,1.0,1.92,64
Emil Beauregard,0.0,0.11,0.2,0.77,0.0,1.08,67
Patrica Oehler,0.0,1.0,0.58,0.0,0.75,2.33,44
Janice Beyer,0.02,0.29,0.0,0.54,0.35,1.2,52
Stephanie Gaunt,0.0,0.48,0.9,1.0,0.37,2.75,81
Nestor Moffett,1.0,0.21,0.69,0.86,1.0,3.76,90
Jose Meyer,0.13,0.74,1.0,0.92,0.0,2.79,94
Alexis Rodriguez,0.0,0.27,0.63,0.1,0.0,1.0,58
Richard Tran,0.06,0.04,0.01,0.0,0.78,0.89,63
Anthony Schaeffer,0.64,1.0,0.0,0.54,0.86,3.04,81
Mae Murray,0.85,0.4,0.27,0.22,0.0,1.74,30
Lynn Virgil,0.12,1.0,0.8,0.3,0.79,3.01,70
Teresa Noble,0.17,0.72,0.0,0.0,0.47,1.36,44
Helen Sturdevant,0.0,0.19,0.0,0.05,0.23,0.47,42
Jean Romansky,0.0,0.78,0.35,0.82,0.39,2.34,37
Ken Tram,0.0,0.12,0.61,0.19,0.49,1.41,46
Peggy Velasquez,0.19,1.0,0.9,1.0,0.0,3.09,76
Athena Strassburg,0.62,0.14,0.98,0.0,0.0,1.74,34
Howard Mansfield,0.68,0.45,0.0,1.0,0.21,2.34,68
Julie Shook,0.09,0.01,0.0,0.86,0.03,0.99,30
Debbie Daniels,0.56,0.69,1.0,0.55,0.48,3.28,70
James Stephens,0.0,0.25,0.11,1.0,0.0,1.36,62
Gerardo Bravo,0.0,0.16,0.0,0.23,0.43,0.82,59
Kenneth White,0.53,0.99,0.66,0.12,0.03,2.33,46
Todd Hernandez,0.97,0.39,0.0,0.96,0.0,2.32,45
Edward Rosario,1.0,0.48,1.0,0.75,0.28,3.51,80
Ken Boaz,0.72,0.35,0.06,0.42,0.0,1.55,30
Dolores Ebinger,0.38,0.76,0.56,0.25,0.59,2.54,57
Joan Price,0.23,0.0,0.44,0.4,0.47,1.54,40
Dewey Sipes,0.63,0.08,0.5,0.55,1.0,2.76,77
Angel Tooms,0.92,0.37,0.87,0.0,0.41,2.57,55
Donna Hodges,0.16,0.0,0.0,0.24,1.0,1.4,46
Harvey Willis,0.22,1.0,1.0,0.0,0.44,2.66,43
Benjamin Bon,0.0,0.71,0.0,0.96,0.04,1.71,58
Annie Peters,0.0,0.25,0.26,0.4,0.71,1.62,49
Edna Roiger,0.43,0.7,1.0,0.6,0.37,3.1,71
Sandra Garcia,0.02,0.0,0.45,0.78,0.0,1.25,62
Edna Berman,0.15,0.0,0.0,0.67,1.0,1.82,67
Brian Ng,0.89,0.0,0.75,0.05,0.87,2.56,40
Anthony Schackow,0.0,1.0,0.0,0.28,0.22,1.5,65
Todd Kroeger,0.08,0.17,0.94,0.43,0.33,1.95,45
Russell Galvan,1.0,0.41,0.0,0.0,0.58,1.99,59
Mary Martin,1.0,0.0,0.63,0.0,0.24,1.87,65
Loretta Nobles,0.0,0.68,0.34,0.37,0.0,1.39,53
William Murphy,0.0,0.35,0.72,0.95,0.99,3.01,74
Nina Hanson,0.36,0.33,0.81,0.95,0.27,2.72,89
Nelson Correa,0.89,0.0,0.79,0.48,0.56,2.72,96
Gloria Witt,1.0,0.31,0.2,0.33,0.24,2.08,63
Jeffery Das,0.03,0.0,0.0,0.37,0.0,0.4,64
Jason Stevenson,0.0,0.0,0.0,0.54,0.07,0.61,58
David Combs,0.55,1.0,0.68,1.0,0.0,3.23,86
Eugene Ross,1.0,0.3,0.73,0.0,0.54,2.57,47
Liliana Mcconnell,0.0,0.29,0.64,0.34,0.0,1.27,54
Camille Senior,1.0,0.69,0.95,0.46,0.42,3.52,92
Jeffrey Ohno,0.49,0.78,0.24,0.24,0.64,2.39,60
Derrick Thompson,0.73,0.67,0.3,0.7,0.58,2.98,76
Pamela Cantu,0.52,0.0,0.68,0.0,0.99,2.19,59
John Kadis,0.8,1.0,0.0,0.0,1.0,2.8,76
Charlotte Storey,0.58,0.9,0.46,0.57,0.82,3.33,98
Michael Shoemaker,0.35,0.0,1.0,0.68,0.48,2.51,68
Bill Majure,0.0,0.39,0.15,0.43,0.0,0.97,48
Phillis Johnson,0.0,0.14,0.0,0.09,0.21,0.44,66
Hazel Scott,0.0,0.65,0.41,0.35,0.64,2.05,49
Thomas Gonzalez,0.01,0.52,0.82,0.48,0.61,2.44,53
Esther Morrison,1.0,0.0,0.0,0.91,0.76,2.67,46
Larry Ganser,0.57,0.0,0.23,0.38,1.0,2.18,57
Ashley Fike,0.04,0.78,0.0,0.0,0.0,0.82,46
Tina Trejo,0.19,0.0,0.2,0.01,0.68,1.08,68
Emma Suryan,0.06,0.32,0.53,0.54,0.0,1.45,67
Lillian Parish,0.72,0.1,1.0,0.45,0.36,2.63,46
Beverly Lembrick,0.78,0.12,0.0,0.61,0.46,1.97,57
Erik Bush,0.59,0.49,0.59,0.38,1.0,3.05,74
Brandy Faulkner,0.69,0.63,1.0,0.44,0.83,3.59,88
Lori Johnson,0.0,1.0,0.0,0.25,0.0,1.25,61
John Schlegel,0.07,0.41,0.16,0.0,0.0,0.64,40
Nancy Anderson,0.29,1.0,0.0,0.0,0.0,1.29,32
Rose Crosley,0.05,0.0,0.49,1.0,0.21,1.75,47
Lucille Alexander,0.73,0.38,1.0,0.48,0.07,2.66,45
Charles Paiva,0.67,0.0,0.0,0.29,1.0,1.96,42
Julie Sanders,0.1,0.78,0.0,0.0,0.0,0.88,48
Bernice Godwin,0.0,0.0,0.0,0.0,0.72,0.72,65
Cathleen Ramirez,0.69,0.08,1.0,0.74,1.0,3.51,81
Josephine Mcgregor,0.08,0.0,0.0,0.95,1.0,2.03,47
Russell Broach,0.0,0.39,0.0,0.0,0.6,0.99,45
Linda Allen,0.91,0.32,0.0,0.0,0.35,1.58,37
Mildred Mays,0.09,0.55,0.0,0.53,1.0,2.17,48
Charles Morad,0.27,0.68,0.0,0.0,0.49,1.44,51
Cody Colbert,0.59,0.24,0.38,1.0,0.13,2.34,39
Kathy Raymond,0.0,0.51,0.2,0.76,0.03,1.5,56
Douglas Farr,0.73,0.21,0.0,0.0,0.91,1.85,65
Andrew Rowland,0.0,0.71,0.52,0.86,1.0,3.09,95
Monique Rios,0.0,0.0,0.59,0.0,0.56,1.15,43
Tammy Chase,0.23,0.46,0.38,0.2,0.03,1.3,30
Wilbur Maccormack,0.09,0.28,0.95,0.46,0.74,2.52,62
Carrie Walters,0.55,1.0,0.63,0.47,0.21,2.86,94
Robert Gomez,0.06,0.17,1.0,0.42,0.39,2.04,38
Mary Lawrence,0.0,0.4,0.9,1.0,0.08,2.38,64
Susan Lebarron,1.0,0.29,0.0,1.0,0.26,2.55,44
John Bell,0.0,0.0,0.4,0.47,0.19,1.06,67
Cierra Battle,0.63,0.3,0.07,0.48,0.65,2.13,63
Chad Salas,0.0,0.71,0.0,1.0,0.08,1.79,31
Walter Antrikin,0.07,0.59,0.0,0.0,0.85,1.51,39
Genevieve Posey,1.0,0.3,0.43,0.77,0.19,2.69,31
Dominga Marden,0.72,0.99,0.21,0.41,1.0,3.33,75
Joseph Burnette,1.0,0.24,0.8,0.57,0.86,3.47,87
April Urrutia,0.57,0.0,0.94,0.12,0.44,2.07,35
Sebastian Williams,1.0,0.99,0.0,0.22,1.0,3.21,89
John Luevano,0.11,1.0,0.44,0.59,0.23,2.37,30
Kimberly Johnson,0.13,0.84,0.49,0.49,0.0,1.95,67
Clara Gilpin,0.79,0.03,0.0,0.35,0.68,1.85,38
David Fiedler,0.83,0.07,0.0,0.0,0.66,1.56,63
Dylan Byrd,0.24,0.39,0.33,0.39,0.74,2.09,56
John Carrales,0.0,0.6,0.23,0.6,0.84,2.27,49
Paul Aleman,1.0,0.84,0.0,1.0,0.22,3.06,76
Mildred Chrisman,0.0,0.0,0.95,0.53,0.0,1.48,59
Diana Lambert,0.0,1.0,0.51,0.58,0.0,2.09,38
Dustin Eaton,0.79,0.0,0.34,1.0,0.51,2.64,60
Christine Stone,0.31,1.0,0.23,0.33,0.99,2.86,98
Kendra Stewart,0.47,0.76,0.25,0.71,0.89,3.08,78
Dean Erickson,0.0,0.98,0.55,0.43,0.0,1.96,58
Pamela Miller,1.0,0.0,0.0,0.89,0.0,1.89,38
Audrea Henry,0.0,0.0,1.0,0.2,1.0,2.2,33
Bobbie Merritt,0.24,0.32,1.0,0.0,0.52,2.08,58
Nancy Hughes,1.0,0.19,0.65,0.61,0.02,2.47,41
Annemarie Harwood,1.0,1.0,0.91,1.0,0.15,4.06,93
Virginia Scott,0.0,0.0,0.0,0.91,0.9,1.81,56
Sonya Anderson,0.82,0.52,0.48,0.51,1.0,3.33,76
Philip Rowe,0.89,0.4,0.82,0.91,0.0,3.02,91
Tiffany Raines,0.1,0.03,0.3,1.0,0.23,1.66,46
Kayla Carroll,0.12,0.0,0.16,0.53,1.0,1.81,45
Nancy Miller,0.46,0.16,0.53,0.23,0.14,1.52,41
Johnny Moore,0.19,0.0,1.0,0.0,0.5,1.69,34
Dia Coward,0.78,0.95,1.0,0.51,0.1,3.34,77
Gloria Higgs,0.91,0.0,0.86,0.52,0.0,2.29,47
Roseann Thompson,0.53,0.0,0.8,0.48,0.47,2.28,31
Rosalie Hardy,0.0,0.0,0.13,0.89,0.5,1.52,67
Charles King,0.64,0.0,0.44,0.0,0.0,1.08,51
Norman Johnson,0.0,0.09,0.0,0.0,0.62,0.71,53
Gloria Blanks,0.93,0.78,0.38,0.75,0.58,3.42,70
Ashley Wilson,0.84,0.11,0.33,0.71,0.9,2.89,80
Tamera Pope,0.68,0.95,1.0,1.0,0.36,3.99,73
Richard Schroeder,0.34,0.28,0.68,0.42,0.0,1.72,67
Virginia Skipper,0.0,0.95,0.0,0.63,0.15,1.73,62
Anne Moore,0.35,1.0,0.96,0.44,0.55,3.3,98
Jesse Fine,0.06,0.0,0.29,0.22,0.64,1.21,35
John Applegate,0.13,0.0,0.49,0.83,0.0,1.45,60
Brian Badillo,0.48,0.99,1.0,0.0,0.4,2.87,82
Linda Webb,0.37,0.96,1.0,0.31,0.0,2.64,50
Ana Smith,0.31,0.73,0.8,0.96,0.91,3.71,96
Melanie White,0.6,0.0,0.66,0.62,0.79,2.67,50
Douglas Poe,0.04,1.0,1.0,0.99,0.32,3.35,87
Estelle Thomas,0.08,0.44,0.51,1.0,0.24,2.27,58
Eric Elam,0.78,1.0,0.0,0.0,0.0,1.78,45
Mary Miller,0.68,0.27,0.48,0.08,0.0,1.51,55
Douglas Romanick,0.0,0.0,0.26,0.24,1.0,1.5,41
Thomas Traylor,0.57,0.46,0.49,0.5,0.63,2.65,40
Elizabeth Cowels,0.0,0.53,0.76,0.31,0.81,2.41,38
Diane Wilson,0.58,0.0,0.66,0.44,0.54,2.22,60
Alan Smith,0.25,0.69,0.34,0.06,0.62,1.96,54
Hollis Lively,0.96,0.0,0.5,0.44,0.51,2.41,58
Walter Masciantonio,1.0,0.44,1.0,0.42,0.59,3.45,86
Linda Nelson,1.0,0.0,0.9,0.99,0.37,3.26,89
Wiley Davidson,0.26,0.18,0.83,0.63,1.0,2.9,77
Helen Anderson,0.22,1.0,1.0,0.18,0.38,2.78,90
Bernice Sajovic,0.58,0.83,0.36,0.45,0.61,2.83,97
Linda Gunderson,1.0,0.68,0.08,0.0,1.0,2.76,76
Carrie Karow,0.0,0.24,0.63,0.55,0.2,1.62,55
William Hicks,0.38,0.08,0.61,0.14,0.75,1.96,49
Corazon Delay,0.73,0.27,0.44,0.19,0.52,2.15,30
Janice Moore,0.0,0.89,0.28,0.8,1.0,2.97,84
Brooke George,1.0,0.04,0.73,0.0,0.56,2.33,66
Anthony Goodwin,0.33,0.0,1.0,0.0,1.0,2.33,33
John Cook,0.36,0.26,1.0,0.0,0.0,1.62,64
Paula Beck,0.0,0.68,1.0,0.72,0.29,2.69,68
William Biddle,0.13,0.75,1.0,1.0,0.84,3.72,93
John Henderson,0.74,1.0,0.05,0.0,1.0,2.79,94
James Anderson,0.0,0.0,0.81,0.1,0.01,0.92,30
Elizabeth Schott,0.29,0.97,0.33,0.85,0.43,2.87,87
Hsiu Smith,0.73,0.67,0.73,0.69,0.16,2.98,94
Garry Young,0.6,0.48,0.81,0.0,0.28,2.17,42
Beatriz Webb,0.0,0.7,0.2,0.01,0.0,0.91,42
Karl Martinez,0.64,0.0,0.1,0.0,0.28,1.02,38
Maribeth Gaydos,0.0,0.0,0.0,0.0,1.0,1.0,57
Janice Sharp,1.0,0.98,0.0,0.0,0.59,2.57,35
Lisa Bundy,0.13,0.5,0.83,0.85,0.0,2.31,30
Charles Contrell,0.0,0.57,0.64,0.0,0.72,1.93,47
Guadalupe Ansell,0.25,0.92,0.0,0.0,0.0,1.17,41
Betty Steakley,1.0,0.0,0.16,0.88,0.16,2.2,44
Carmen Catron,0.0,0.0,0.0,0.38,0.68,1.06,40
Frankie Bacon,0.13,0.13,0.37,0.12,0.29,1.04,64
Kenneth Quigley,0.28,0.58,0.14,0.67,0.83,2.5,34
Delphine Goetz,0.22,0.06,1.0,0.0,0.43,1.71,50
Anthony Valerius,0.33,0.0,0.58,0.84,1.0,2.75,76
Jacklyn Mastin,0.0,1.0,0.0,0.21,0.45,1.66,59
Rich Hodgson,0.0,0.0,1.0,0.69,0.71,2.4,58
Herbert Talbott,0.03,0.87,0.0,0.33,0.95,2.18,33
Hugo Hall,0.73,0.0,1.0,0.42,0.86,3.01,76
Catherine Farmer,0.22,0.78,0.97,0.0,0.16,2.13,30
Winfred Spellman,0.23,0.2,0.17,0.68,0.41,1.69,41
Linda Moore,0.0,0.56,0.0,0.79,0.28,1.63,54
Ella Allison,0.47,1.0,0.0,0.0,0.0,1.47,67
Sarah Stelzer,0.19,0.75,0.0,0.35,0.69,1.98,43
Robert Garrison,0.96,0.42,0.46,0.53,0.2,2.57,68
Gilberto Mclaughlin,0.44,1.0,0.46,0.22,0.0,2.12,68
Justina Combs,0.08,0.71,0.36,0.33,0.82,2.3,55
Floyd Adams,0.91,1.0,0.75,0.0,0.04,2.7,32
Victor Seward,0.0,1.0,1.0,0.29,0.0,2.29,41
Alan Stout,0.75,0.63,0.1,1.0,0.15,2.63,54
Cheri Warren,0.0,0.22,0.05,0.0,0.0,0.27,39
Kerri Anderson,0.86,0.47,0.02,0.24,0.0,1.59,36
Barbara Logan,0.11,0.32,0.52,0.54,0.0,1.49,44
James Fisher,0.0,0.76,0.43,1.0,0.05,2.24,32
David Edwards,0.71,0.5,0.74,0.74,0.0,2.69,60
Esther Stott,0.42,0.0,1.0,0.81,0.18,2.41,62
Angela Strobeck,0.37,1.0,0.0,0.0,0.58,1.95,57
Lucille Cervantes,0.71,0.51,0.98,0.24,0.0,2.44,60
Zora Finklea,0.42,1.0,0.0,0.47,0.44,2.33,31
John Foster,0.0,0.18,0.12,0.26,1.0,1.56,64
Michael Pifer,0.2,0.91,0.99,0.84,0.27,3.21,80
Dana Helms,0.86,0.37,0.13,0.38,0.85,2.59,30
William Anderson,0.26,0.99,0.0,0.57,0.5,2.32,34
Richard Morgan,0.0,0.44,0.0,0.0,0.78,1.22,68
Donald Love,1.0,0.33,0.99,0.0,0.84,3.16,73
Mabel Isaac,0.0,0.0,0.0,1.0,1.0,2.0,51
Roger Mills,0.49,0.0,0.62,0.76,0.0,1.87,58
Christian Urman,0.4,0.0,0.0,0.98,0.0,1.38,41
William Snerling,0.12,0.56,0.45,0.18,0.01,1.32,64
Clara Smith,0.55,0.37,0.0,0.63,0.32,1.87,33
Betty Jennings,0.73,0.29,0.0,0.7,0.36,2.08,49
Sammy Holtz,0.84,0.29,1.0,0.35,0.23,2.71,98
Anna Thompson,1.0,0.3,0.49,0.31,0.0,2.1,47
Mary Lyles,0.0,0.32,0.0,0.0,0.56,0.88,32
Elizabeth Kolb,1.0,0.66,0.78,0.0,0.61,3.05,77
Joseph Carver,0.92,0.09,0.66,0.2,1.0,2.87,86
Tanesha Gatewood,1.0,0.0,0.05,0.43,0.0,1.48,37
Bessie Hayes,0.16,0.0,0.88,0.48,0.4,1.92,51
Lance Bello,0.0,0.65,0.89,0.67,0.63,2.84,80
Mark Morin,0.72,0.96,0.0,0.13,0.0,1.81,60
Jorge Rodriguez,0.8,0.0,0.76,0.5,0.52,2.58,52
Harold Pigott,0.25,0.0,0.18,0.04,0.0,0.47,55
Christy Horton,0.39,0.96,0.48,0.12,0.58,2.53,41
Patricia Walden,0.3,0.86,0.02,0.0,0.17,1.35,39
Edward Coleman,0.6,0.07,0.62,0.0,0.6,1.89,66
Victor Saavedra,0.0,0.22,0.15,1.0,0.37,1.74,38
Mary Phillips,0.11,0.51,0.33,0.0,0.0,0.95,45
Cornelius Hartman,0.0,0.01,1.0,0.0,0.64,1.65,34
Jeremy Fry,0.0,0.06,0.83,1.0,0.24,2.13,48
Melissa Rouse,0.45,0.67,0.12,0.68,1.0,2.92,76
Emma Wheat,0.4,0.73,0.48,0.7,0.27,2.58,33
Theresa Fulvio,0.88,0.0,0.24,1.0,0.8,2.92,78
Wendy Farnell,0.0,0.96,0.0,0.0,0.0,0.96,55
Jeffrey Abney,0.15,0.05,0.63,0.0,0.02,0.85,45
Lakeisha Bullock,0.33,1.0,0.41,1.0,1.0,3.74,90
Dawn Luckey,0.31,0.06,0.52,1.0,0.14,2.03,57
Tara Brinda,0.21,0.8,0.0,0.25,0.4,1.66,64
Vicki Harris,0.34,0.27,0.21,0.34,0.0,1.16,40
Mildred Yetsko,0.2,1.0,0.14,0.72,0.73,2.79,95
John Gunn,0.0,0.5,0.39,0.0,0.0,0.89,32
Michele Willis,0.34,0.68,0.65,0.34,0.0,2.01,34
Luis Mcdonald,0.33,0.29,0.19,0.24,1.0,2.05,64
Margaret White,0.36,1.0,0.89,0.1,0.43,2.78,92
Wilburn Sparkman,0.18,0.36,0.45,0.59,1.0,2.58,38
Mary Keefe,0.79,0.19,0.0,0.13,1.0,2.11,33
Aldo Larson,0.01,0.42,0.27,0.48,0.0,1.18,52
Anne Gordon,0.87,0.82,1.0,1.0,0.65,4.34,78
Todd Allen,0.0,0.94,0.1,0.88,0.65,2.57,45
Irene Hopkins,0.47,0.07,1.0,0.0,0.63,2.17,64
Robert Piechoski,0.6,0.11,0.13,0.3,0.44,1.58,33
Esmeralda Nay,0.35,0.09,0.0,0.66,0.48,1.58,68
Valerie Deshaies,0.26,1.0,0.0,0.64,0.53,2.43,48
Maggie Cooper,1.0,0.48,0.0,0.46,0.0,1.94,48
John Rivera,0.38,0.13,0.0,0.89,0.78,2.18,59
Timothy White,0.48,0.55,0.34,0.36,0.41,2.14,62
Lucy Crawford,0.0,0.52,0.42,0.81,0.44,2.19,52
Dorothy Adcock,0.43,0.29,0.0,0.65,0.99,2.36,52
Thomas Vidales,0.38,0.0,0.92,0.72,0.99,3.01,87
John Ponder,0.22,0.0,0.5,0.0,0.27,0.99,55
Ora Hill,0.0,0.49,1.0,0.73,0.63,2.85,93
Kristin Rogers,0.46,0.72,0.09,0.36,0.0,1.63,59
Helen Chockley,0.72,0.96,1.0,0.63,0.41,3.72,79
Tara Fernandez,0.15,0.1,0.36,0.85,0.26,1.72,52
Patricia Rogers,0.47,1.0,0.59,0.23,0.28,2.57,60
Ronald Clark,0.2,0.03,0.0,0.0,0.0,0.23,67
Lavon Klaus,0.66,0.0,1.0,0.0,1.0,2.66,36
Cynthia Picard,0.31,0.2,0.66,0.8,0.17,2.14,42
Ruben Tirk,0.52,0.0,0.68,0.82,0.49,2.51,42
Eldon Senske,0.64,0.0,0.77,0.76,0.16,2.33,63
Anita Brown,0.25,1.0,1.0,0.66,0.55,3.46,90
Brent Sullivan,0.89,0.0,0.81,1.0,1.0,3.7,82
Dennis Williams,0.56,0.75,0.23,0.0,0.15,1.69,30
Peggy Salazar,1.0,0.94,0.26,1.0,1.0,4.2,88
Terry Beanblossom,0.45,1.0,0.56,0.43,0.12,2.56,50
Laurel Young,0.16,0.84,0.0,0.46,1.0,2.46,49
Danilo Cashion,0.0,0.8,0.99,0.0,1.0,2.79,72
Ronald Sawyer,0.0,1.0,0.03,0.0,0.08,1.11,49
Nicolas Graves,0.48,0.0,0.56,0.62,0.0,1.66,37
Harold Robinson,0.73,0.9,0.36,0.46,0.15,2.6,64
Rhonda Louder,0.45,0.0,0.6,0.64,0.59,2.28,37
Ann Lusby,0.81,0.98,1.0,0.44,0.0,3.23,76
Ronald Trevino,0.42,0.24,0.08,0.77,0.0,1.51,58
Frances Chapman,0.14,0.0,0.17,0.81,0.0,1.12,48
Randy Dinh,0.17,0.13,0.0,0.58,1.0,1.88,66
Betty Wagner,0.0,0.54,0.49,0.0,0.16,1.19,45
Enrique Demps,0.0,1.0,0.26,0.0,0.21,1.47,58
Sue Hutchinson,0.12,1.0,0.0,0.0,0.31,1.43,53
Diana Toler,0.32,0.55,0.0,0.0,0.22,1.09,35
Sylvester Heatherly,0.69,0.4,0.64,0.0,0.0,1.73,62
Temika Hancock,0.7,0.0,0.0,0.31,0.85,1.86,37
Frances Reinhardt,0.0,0.43,0.56,0.29,0.95,2.23,40
Carlos Larson,0.43,0.07,0.92,0.02,0.4,1.84,40
Anita Trevino,0.87,0.23,0.07,0.42,0.03,1.62,47
Cynthia Lynd,1.0,1.0,1.0,0.61,0.19,3.8,97
Alice May,0.1,0.78,0.29,1.0,0.55,2.72,71
Robert Alonzo,1.0,1.0,0.64,0.14,0.95,3.73,91
Yetta Alvis,0.0,0.0,0.62,0.78,0.57,1.97,65
Mary Oliveira,1.0,1.0,0.68,0.0,0.88,3.56,80
Allen Ashley,0.84,0.0,0.21,0.26,1.0,2.31,43
Petra Hernandez,0.0,0.18,0.71,1.0,0.0,1.89,49
Patti Martinez,1.0,0.98,0.66,0.55,0.2,3.39,96
Annette Arndt,0.11,0.44,0.0,0.2,0.0,0.75,58
Amber Mclemore,0.56,0.51,0.91,0.0,0.19,2.17,54
Elizabeth Fowler,0.0,0.25,0.35,0.41,0.58,1.59,46
Jim Mcnay,0.76,1.0,0.75,0.56,0.46,3.53,95
Laurie Collier,0.67,0.26,0.16,0.14,0.71,1.94,40
Thad Marx,0.31,0.0,0.14,0.07,0.0,0.52,46
Wanda Hunt,0.38,0.8,0.78,0.57,0.0,2.53,31
Susan Dente,0.47,0.19,0.53,1.0,1.0,3.19,71
Mary Hankins,0.77,1.0,0.06,0.0,0.0,1.83,37
Robert Bovee,1.0,0.43,0.5,0.66,0.53,3.12,91
Valerie Mansour,0.32,0.36,0.82,0.0,0.0,1.5,43
Raul Guillen,0.07,0.31,0.83,0.61,0.27,2.09,49
Mark Edge,1.0,0.3,0.0,1.0,0.22,2.52,67
Jon Koopmans,0.0,0.63,0.91,1.0,0.19,2.73,93
Donald Arrott,0.0,1.0,0.6,0.39,0.87,2.86,73
Ronald Langford,0.85,0.24,0.5,0.91,0.63,3.13,72
Joe Evans,1.0,1.0,0.6,0.01,0.0,2.61,38
David Clark,0.0,0.61,0.36,0.0,0.12,1.09,33
Cliff Beckham,0.18,0.36,0.26,0.0,0.61,1.41,59
Judy Mercuri,0.87,0.18,0.57,0.42,0.74,2.78,82
Twyla Bravo,0.27,0.9,0.0,0.97,0.0,2.14,48
Matthew Carswell,0.6,0.01,0.18,1.0,0.0,1.79,53
Melvin Cantu,1.0,0.46,0.0,0.79,0.0,2.25,34
Darrell Harrington,0.0,0.0,0.0,0.0,0.97,0.97,30
Maryln Cox,0.56,0.0,1.0,0.0,1.0,2.56,66
Richard Lerma,0.71,0.07,0.41,0.51,0.0,1.7,39
Helen Weaver,0.39,1.0,0.37,0.0,0.84,2.6,55
Charlie Millican,0.98,0.38,0.14,0.93,0.19,2.62,36
Helen Leatherwood,0.0,1.0,0.0,0.12,0.13,1.25,51
Frances Wood,0.44,0.84,0.41,0.0,0.0,1.69,67
Linda Harrison,0.16,0.57,0.71,0.0,0.06,1.5,52
Jacob Sweeden,0.22,0.0,0.26,1.0,0.58,2.06,62
Jaime Caputo,0.0,0.0,1.0,0.59,0.65,2.24,50
Frances Brewer,0.78,0.57,0.83,0.0,0.08,2.26,63
Terrance Beverly,0.31,0.53,0.0,0.33,1.0,2.17,64
Mayra Gilbreth,0.57,0.0,0.62,0.71,0.24,2.14,59
Jackie Stacy,0.26,0.34,0.0,0.13,0.89,1.62,44
June Martin,0.0,0.08,1.0,1.0,0.27,2.35,65
Kay Dennehy,0.0,0.16,0.91,0.83,0.22,2.12,53
Ronald Martinez,0.82,1.0,0.0,0.44,0.57,2.83,87
Royce Cheshire,0.0,0.69,0.78,0.34,1.0,2.81,88
Marcus Callahan,0.97,0.2,0.59,0.0,0.73,2.49,63
Ruby Langer,0.02,0.61,1.0,0.21,0.09,1.93,35
Richard Johnson,0.76,0.42,0.36,0.7,0.61,2.85,78
Beatrice Mattson,0.62,0.0,0.18,0.69,1.0,2.49,62
Elizabeth Sims,0.52,0.4,0.0,1.0,0.53,2.45,38
Matthew Deleon,0.57,0.67,0.0,0.0,0.0,1.24,34
Dawn Thomas,0.6,0.16,0.54,0.88,0.0,2.18,41
Shelley Ramerez,0.77,0.32,0.0,1.0,0.24,2.33,33
Monica Craft,0.72,1.0,0.03,0.0,0.59,2.34,52
Ellen Mills,0.6,0.0,0.64,0.37,0.99,2.6,52
Samantha Hartman,0.0,0.0,0.94,0.55,0.0,1.49,39
Misty Leonelli,0.37,0.32,0.73,0.0,0.68,2.1,31
Dennis Price,0.0,0.17,1.0,0.48,0.95,2.6,62
Charles Flickner,0.95,0.39,0.62,0.0,1.0,2.96,90
Richard Roeber,0.28,0.37,0.39,0.21,0.35,1.6,64
Joe Mcclung,0.13,0.11,0.51,0.21,0.92,1.88,52
Glenn Andrews,0.0,0.0,0.02,0.0,0.13,0.15,59
James Williams,1.0,0.44,0.65,0.53,0.1,2.72,71
Marilyn Ly,0.09,0.13,0.23,0.46,0.38,1.29,57
Lisa Lawyer,0.21,0.89,0.71,1.0,0.36,3.17,80
Jacalyn Macdonald,0.0,0.8,0.88,1.0,0.5,3.18,73
Norris Newsham,0.68,0.0,0.0,0.83,0.0,1.51,65
Miriam Pannell,0.0,0.0,0.75,1.0,0.73,2.48,36
Michelle Mcnamara,0.0,0.41,0.84,0.63,1.0,2.88,97
Frank Melena,0.63,1.0,0.5,0.42,0.35,2.9,76
Marie Donaldson,0.87,0.34,0.14,0.0,1.0,2.35,55
Betty Alford,0.76,0.38,0.0,0.26,0.41,1.81,56
Belinda Venegas,0.0,0.44,0.17,0.29,1.0,1.9,64
Nancy Suski,0.71,0.23,0.96,0.83,0.87,3.6,77
William Perego,0.2,0.73,0.46,0.66,0.49,2.54,64
Joyce Shelton,0.25,0.87,0.34,1.0,0.0,2.46,58
Richard Hopkins,1.0,0.29,0.48,0.0,0.49,2.26,48
Charlotte Taylor,0.82,0.25,0.77,0.79,0.53,3.16,79
Lauren Davila,0.71,0.0,0.6,0.85,0.0,2.16,44
